id,emoji,codepoints,name_en,name_ja,en_flag,importance,category,category_ja,subcategory,subcategory_ja,unicode_version,abstract_group_id,abstract_group_role,abstract_variant_kind,abstract_is_source,abstract_group_key,direct_ja,visual_ja,context_ja,symbolic_ja,emotion_ja,action_ja,culture_ja,search_ja,meaning_ja,usage_ja,impression_ja,class_ja,hidden_variant,variant_kind
409,🫱🏻‍🫲🏿,1FAF1;1F3FB;200D;1FAF2;1F3FF,"handshake: light skin tone, dark skin tone",握手（薄い肌色） 濃い肌色,,1,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
410,🫱🏼‍🫲🏻,1FAF1;1F3FC;200D;1FAF2;1F3FB,"handshake: medium-light skin tone, light skin tone",握手（やや薄い肌色） 薄い肌色,,2,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
411,🫱🏼‍🫲🏽,1FAF1;1F3FC;200D;1FAF2;1F3FD,"handshake: medium-light skin tone, medium skin tone",握手（やや薄い肌色） 中間の肌色,,2,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
412,🫱🏼‍🫲🏾,1FAF1;1F3FC;200D;1FAF2;1F3FE,"handshake: medium-light skin tone, medium-dark skin tone",握手（やや薄い肌色） やや濃い肌色,,2,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
413,🫱🏼‍🫲🏿,1FAF1;1F3FC;200D;1FAF2;1F3FF,"handshake: medium-light skin tone, dark skin tone",握手（やや薄い肌色） 濃い肌色,,2,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
414,🫱🏽‍🫲🏻,1FAF1;1F3FD;200D;1FAF2;1F3FB,"handshake: medium skin tone, light skin tone",握手（中間の肌色） 薄い肌色,,1,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
415,🫱🏽‍🫲🏼,1FAF1;1F3FD;200D;1FAF2;1F3FC,"handshake: medium skin tone, medium-light skin tone",握手（中間の肌色） やや薄い肌色,,2,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
416,🫱🏽‍🫲🏾,1FAF1;1F3FD;200D;1FAF2;1F3FE,"handshake: medium skin tone, medium-dark skin tone",握手（中間の肌色） やや濃い肌色,,1,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
417,🫱🏽‍🫲🏿,1FAF1;1F3FD;200D;1FAF2;1F3FF,"handshake: medium skin tone, dark skin tone",握手（中間の肌色） 濃い肌色,,1,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
418,🫱🏾‍🫲🏻,1FAF1;1F3FE;200D;1FAF2;1F3FB,"handshake: medium-dark skin tone, light skin tone",握手（やや濃い肌色） 薄い肌色,,1,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
419,🫱🏾‍🫲🏼,1FAF1;1F3FE;200D;1FAF2;1F3FC,"handshake: medium-dark skin tone, medium-light skin tone",握手（やや濃い肌色） やや薄い肌色,,2,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
420,🫱🏾‍🫲🏽,1FAF1;1F3FE;200D;1FAF2;1F3FD,"handshake: medium-dark skin tone, medium skin tone",握手（やや濃い肌色） 中間の肌色,,1,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
421,🫱🏾‍🫲🏿,1FAF1;1F3FE;200D;1FAF2;1F3FF,"handshake: medium-dark skin tone, dark skin tone",握手（やや濃い肌色） 濃い肌色,,1,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
422,🫱🏿‍🫲🏻,1FAF1;1F3FF;200D;1FAF2;1F3FB,"handshake: dark skin tone, light skin tone",握手（濃い肌色） 薄い肌色,,1,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
423,🫱🏿‍🫲🏼,1FAF1;1F3FF;200D;1FAF2;1F3FC,"handshake: dark skin tone, medium-light skin tone",握手（濃い肌色） やや薄い肌色,,2,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
424,🫱🏿‍🫲🏽,1FAF1;1F3FF;200D;1FAF2;1F3FD,"handshake: dark skin tone, medium skin tone",握手（濃い肌色） 中間の肌色,,1,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
425,🫱🏿‍🫲🏾,1FAF1;1F3FF;200D;1FAF2;1F3FE,"handshake: dark skin tone, medium-dark skin tone",握手（濃い肌色） やや濃い肌色,,1,People & Body,人と体,hands,両手,14,400,variant,mixed_skin,0,handshake,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する,両手;手;握手;協力;祈り;祝福;信頼,挨拶;お礼;応援;チャット;契約;合意;拍手する;合わせる;祈る;握手する,二つの手;手のひら;感謝;嬉しい;温かい,人と体;両手,True,multi_skin
426,🙏,1F64F,folded hands,合わせた手,,2,People & Body,人と体,hands,両手,0.6,426,source,base,1,folded hands,両手;手;合わせた手;合掌,二つの手;手のひら,挨拶;お礼;応援;チャット;お願い;祈り,協力;祈り;祝福;祈願;感謝;謝罪,感謝;嬉しい;温かい;ありがたい,拍手する;合わせる;祈る;お願いする,,両手;手;合わせた手;合掌;二つの手;手のひら;挨拶;お礼;応援;チャット;お願い;祈り;協力;祝福;祈願;感謝;謝罪;嬉しい;温かい;ありがたい;拍手する;合わせる;祈る;お願いする,両手;手;合わせた手;合掌;協力;祈り;祝福;祈願;感謝;謝罪,挨拶;お礼;応援;チャット;お願い;祈り;拍手する;合わせる;祈る;お願いする,二つの手;手のひら;感謝;嬉しい;温かい;ありがたい,人と体;両手,,
427,🙏🏻,1F64F;1F3FB,folded hands: light skin tone,祈り（薄い肌色）,,1,People & Body,人と体,hands,両手,1,426,variant,skin_tone,0,folded hands,両手;手;合わせた手;合掌,二つの手;手のひら,挨拶;お礼;応援;チャット;お願い;祈り,協力;祈り;祝福;祈願;感謝;謝罪,感謝;嬉しい;温かい;ありがたい,拍手する;合わせる;祈る;お願いする,,両手;手;合わせた手;合掌;二つの手;手のひら;挨拶;お礼;応援;チャット;お願い;祈り;協力;祝福;祈願;感謝;謝罪;嬉しい;温かい;ありがたい;拍手する;合わせる;祈る;お願いする,両手;手;合わせた手;合掌;協力;祈り;祝福;祈願;感謝;謝罪,挨拶;お礼;応援;チャット;お願い;祈り;拍手する;合わせる;祈る;お願いする,二つの手;手のひら;感謝;嬉しい;温かい;ありがたい,人と体;両手,,
428,🙏🏼,1F64F;1F3FC,folded hands: medium-light skin tone,祈り（やや薄い肌色）,,2,People & Body,人と体,hands,両手,1,426,variant,skin_tone,0,folded hands,両手;手;合わせた手;合掌,二つの手;手のひら,挨拶;お礼;応援;チャット;お願い;祈り,協力;祈り;祝福;祈願;感謝;謝罪,感謝;嬉しい;温かい;ありがたい,拍手する;合わせる;祈る;お願いする,,両手;手;合わせた手;合掌;二つの手;手のひら;挨拶;お礼;応援;チャット;お願い;祈り;協力;祝福;祈願;感謝;謝罪;嬉しい;温かい;ありがたい;拍手する;合わせる;祈る;お願いする,両手;手;合わせた手;合掌;協力;祈り;祝福;祈願;感謝;謝罪,挨拶;お礼;応援;チャット;お願い;祈り;拍手する;合わせる;祈る;お願いする,二つの手;手のひら;感謝;嬉しい;温かい;ありがたい,人と体;両手,,
429,🙏🏽,1F64F;1F3FD,folded hands: medium skin tone,祈り（中間の肌色）,,1,People & Body,人と体,hands,両手,1,426,variant,skin_tone,0,folded hands,両手;手;合わせた手;合掌,二つの手;手のひら,挨拶;お礼;応援;チャット;お願い;祈り,協力;祈り;祝福;祈願;感謝;謝罪,感謝;嬉しい;温かい;ありがたい,拍手する;合わせる;祈る;お願いする,,両手;手;合わせた手;合掌;二つの手;手のひら;挨拶;お礼;応援;チャット;お願い;祈り;協力;祝福;祈願;感謝;謝罪;嬉しい;温かい;ありがたい;拍手する;合わせる;祈る;お願いする,両手;手;合わせた手;合掌;協力;祈り;祝福;祈願;感謝;謝罪,挨拶;お礼;応援;チャット;お願い;祈り;拍手する;合わせる;祈る;お願いする,二つの手;手のひら;感謝;嬉しい;温かい;ありがたい,人と体;両手,,
430,🙏🏾,1F64F;1F3FE,folded hands: medium-dark skin tone,祈り（やや濃い肌色）,,1,People & Body,人と体,hands,両手,1,426,variant,skin_tone,0,folded hands,両手;手;合わせた手;合掌,二つの手;手のひら,挨拶;お礼;応援;チャット;お願い;祈り,協力;祈り;祝福;祈願;感謝;謝罪,感謝;嬉しい;温かい;ありがたい,拍手する;合わせる;祈る;お願いする,,両手;手;合わせた手;合掌;二つの手;手のひら;挨拶;お礼;応援;チャット;お願い;祈り;協力;祝福;祈願;感謝;謝罪;嬉しい;温かい;ありがたい;拍手する;合わせる;祈る;お願いする,両手;手;合わせた手;合掌;協力;祈り;祝福;祈願;感謝;謝罪,挨拶;お礼;応援;チャット;お願い;祈り;拍手する;合わせる;祈る;お願いする,二つの手;手のひら;感謝;嬉しい;温かい;ありがたい,人と体;両手,,
431,🙏🏿,1F64F;1F3FF,folded hands: dark skin tone,祈り（濃い肌色）,,1,People & Body,人と体,hands,両手,1,426,variant,skin_tone,0,folded hands,両手;手;合わせた手;合掌,二つの手;手のひら,挨拶;お礼;応援;チャット;お願い;祈り,協力;祈り;祝福;祈願;感謝;謝罪,感謝;嬉しい;温かい;ありがたい,拍手する;合わせる;祈る;お願いする,,両手;手;合わせた手;合掌;二つの手;手のひら;挨拶;お礼;応援;チャット;お願い;祈り;協力;祝福;祈願;感謝;謝罪;嬉しい;温かい;ありがたい;拍手する;合わせる;祈る;お願いする,両手;手;合わせた手;合掌;協力;祈り;祝福;祈願;感謝;謝罪,挨拶;お礼;応援;チャット;お願い;祈り;拍手する;合わせる;祈る;お願いする,二つの手;手のひら;感謝;嬉しい;温かい;ありがたい,人と体;両手,,
432,✍️,270D;FE0F,writing hand,書く手,,2,People & Body,人と体,hand-prop,手と道具,0.7,432,source,base,1,writing hand,手;道具;書く手,手元;小物,作業;美容;写真;SNS;勉強;仕事;メモ,自己表現;記録;署名,,書く;塗る;撮る,,手;道具;書く手;手元;小物;作業;美容;写真;SNS;勉強;仕事;メモ;自己表現;記録;署名;書く;塗る;撮る,手;道具;書く手;自己表現;記録;署名,作業;美容;写真;SNS;勉強;仕事;メモ;書く;塗る;撮る,手元;小物,人と体;手と道具,,
433,✍🏻,270D;1F3FB,writing hand: light skin tone,書いている手（薄い肌色）,,1,People & Body,人と体,hand-prop,手と道具,1,432,variant,skin_tone,0,writing hand,手;道具;書く手,手元;小物,作業;美容;写真;SNS;勉強;仕事;メモ,自己表現;記録;署名,,書く;塗る;撮る,,手;道具;書く手;手元;小物;作業;美容;写真;SNS;勉強;仕事;メモ;自己表現;記録;署名;書く;塗る;撮る,手;道具;書く手;自己表現;記録;署名,作業;美容;写真;SNS;勉強;仕事;メモ;書く;塗る;撮る,手元;小物,人と体;手と道具,,
434,✍🏼,270D;1F3FC,writing hand: medium-light skin tone,書いている手（やや薄い肌色）,,2,People & Body,人と体,hand-prop,手と道具,1,432,variant,skin_tone,0,writing hand,手;道具;書く手,手元;小物,作業;美容;写真;SNS;勉強;仕事;メモ,自己表現;記録;署名,,書く;塗る;撮る,,手;道具;書く手;手元;小物;作業;美容;写真;SNS;勉強;仕事;メモ;自己表現;記録;署名;書く;塗る;撮る,手;道具;書く手;自己表現;記録;署名,作業;美容;写真;SNS;勉強;仕事;メモ;書く;塗る;撮る,手元;小物,人と体;手と道具,,
435,✍🏽,270D;1F3FD,writing hand: medium skin tone,書いている手（中間の肌色）,,1,People & Body,人と体,hand-prop,手と道具,1,432,variant,skin_tone,0,writing hand,手;道具;書く手,手元;小物,作業;美容;写真;SNS;勉強;仕事;メモ,自己表現;記録;署名,,書く;塗る;撮る,,手;道具;書く手;手元;小物;作業;美容;写真;SNS;勉強;仕事;メモ;自己表現;記録;署名;書く;塗る;撮る,手;道具;書く手;自己表現;記録;署名,作業;美容;写真;SNS;勉強;仕事;メモ;書く;塗る;撮る,手元;小物,人と体;手と道具,,
436,✍🏾,270D;1F3FE,writing hand: medium-dark skin tone,書いている手（やや濃い肌色）,,1,People & Body,人と体,hand-prop,手と道具,1,432,variant,skin_tone,0,writing hand,手;道具;書く手,手元;小物,作業;美容;写真;SNS;勉強;仕事;メモ,自己表現;記録;署名,,書く;塗る;撮る,,手;道具;書く手;手元;小物;作業;美容;写真;SNS;勉強;仕事;メモ;自己表現;記録;署名;書く;塗る;撮る,手;道具;書く手;自己表現;記録;署名,作業;美容;写真;SNS;勉強;仕事;メモ;書く;塗る;撮る,手元;小物,人と体;手と道具,,
437,✍🏿,270D;1F3FF,writing hand: dark skin tone,書いている手（濃い肌色）,,1,People & Body,人と体,hand-prop,手と道具,1,432,variant,skin_tone,0,writing hand,手;道具;書く手,手元;小物,作業;美容;写真;SNS;勉強;仕事;メモ,自己表現;記録;署名,,書く;塗る;撮る,,手;道具;書く手;手元;小物;作業;美容;写真;SNS;勉強;仕事;メモ;自己表現;記録;署名;書く;塗る;撮る,手;道具;書く手;自己表現;記録;署名,作業;美容;写真;SNS;勉強;仕事;メモ;書く;塗る;撮る,手元;小物,人と体;手と道具,,
438,💅,1F485,nail polish,マニキュアを塗る手,,2,People & Body,人と体,hand-prop,手と道具,0.6,438,source,base,1,nail polish,手;道具;マニキュアを塗る手;マニキュア,手元;小物,作業;美容;写真;SNS;ネイル,自己表現;記録;おしゃれ,きれい,書く;塗る;撮る,,手;道具;マニキュアを塗る手;マニキュア;手元;小物;作業;美容;写真;SNS;ネイル;自己表現;記録;おしゃれ;きれい;書く;塗る;撮る,手;道具;マニキュアを塗る手;マニキュア;自己表現;記録;おしゃれ,作業;美容;写真;SNS;ネイル;書く;塗る;撮る,手元;小物;きれい,人と体;手と道具,,
439,💅🏻,1F485;1F3FB,nail polish: light skin tone,マニキュアを塗る手（薄い肌色）,,1,People & Body,人と体,hand-prop,手と道具,1,438,variant,skin_tone,0,nail polish,手;道具;マニキュアを塗る手;マニキュア,手元;小物,作業;美容;写真;SNS;ネイル,自己表現;記録;おしゃれ,きれい,書く;塗る;撮る,,手;道具;マニキュアを塗る手;マニキュア;手元;小物;作業;美容;写真;SNS;ネイル;自己表現;記録;おしゃれ;きれい;書く;塗る;撮る,手;道具;マニキュアを塗る手;マニキュア;自己表現;記録;おしゃれ,作業;美容;写真;SNS;ネイル;書く;塗る;撮る,手元;小物;きれい,人と体;手と道具,,
440,💅🏼,1F485;1F3FC,nail polish: medium-light skin tone,マニキュアを塗る手（やや薄い肌色）,,2,People & Body,人と体,hand-prop,手と道具,1,438,variant,skin_tone,0,nail polish,手;道具;マニキュアを塗る手;マニキュア,手元;小物,作業;美容;写真;SNS;ネイル,自己表現;記録;おしゃれ,きれい,書く;塗る;撮る,,手;道具;マニキュアを塗る手;マニキュア;手元;小物;作業;美容;写真;SNS;ネイル;自己表現;記録;おしゃれ;きれい;書く;塗る;撮る,手;道具;マニキュアを塗る手;マニキュア;自己表現;記録;おしゃれ,作業;美容;写真;SNS;ネイル;書く;塗る;撮る,手元;小物;きれい,人と体;手と道具,,
441,💅🏽,1F485;1F3FD,nail polish: medium skin tone,マニキュアを塗る手（中間の肌色）,,1,People & Body,人と体,hand-prop,手と道具,1,438,variant,skin_tone,0,nail polish,手;道具;マニキュアを塗る手;マニキュア,手元;小物,作業;美容;写真;SNS;ネイル,自己表現;記録;おしゃれ,きれい,書く;塗る;撮る,,手;道具;マニキュアを塗る手;マニキュア;手元;小物;作業;美容;写真;SNS;ネイル;自己表現;記録;おしゃれ;きれい;書く;塗る;撮る,手;道具;マニキュアを塗る手;マニキュア;自己表現;記録;おしゃれ,作業;美容;写真;SNS;ネイル;書く;塗る;撮る,手元;小物;きれい,人と体;手と道具,,
442,💅🏾,1F485;1F3FE,nail polish: medium-dark skin tone,マニキュアを塗る手（やや濃い肌色）,,1,People & Body,人と体,hand-prop,手と道具,1,438,variant,skin_tone,0,nail polish,手;道具;マニキュアを塗る手;マニキュア,手元;小物,作業;美容;写真;SNS;ネイル,自己表現;記録;おしゃれ,きれい,書く;塗る;撮る,,手;道具;マニキュアを塗る手;マニキュア;手元;小物;作業;美容;写真;SNS;ネイル;自己表現;記録;おしゃれ;きれい;書く;塗る;撮る,手;道具;マニキュアを塗る手;マニキュア;自己表現;記録;おしゃれ,作業;美容;写真;SNS;ネイル;書く;塗る;撮る,手元;小物;きれい,人と体;手と道具,,
443,💅🏿,1F485;1F3FF,nail polish: dark skin tone,マニキュアを塗る手（濃い肌色）,,1,People & Body,人と体,hand-prop,手と道具,1,438,variant,skin_tone,0,nail polish,手;道具;マニキュアを塗る手;マニキュア,手元;小物,作業;美容;写真;SNS;ネイル,自己表現;記録;おしゃれ,きれい,書く;塗る;撮る,,手;道具;マニキュアを塗る手;マニキュア;手元;小物;作業;美容;写真;SNS;ネイル;自己表現;記録;おしゃれ;きれい;書く;塗る;撮る,手;道具;マニキュアを塗る手;マニキュア;自己表現;記録;おしゃれ,作業;美容;写真;SNS;ネイル;書く;塗る;撮る,手元;小物;きれい,人と体;手と道具,,
444,🤳,1F933,selfie,セルフィー,,2,People & Body,人と体,hand-prop,手と道具,3,444,source,base,1,selfie,手;道具;セルフィー;自撮り,手元;小物,作業;美容;写真;SNS;旅行,自己表現;記録;記念,,書く;塗る;撮る,,手;道具;セルフィー;自撮り;手元;小物;作業;美容;写真;SNS;旅行;自己表現;記録;記念;書く;塗る;撮る,手;道具;セルフィー;自撮り;自己表現;記録;記念,作業;美容;写真;SNS;旅行;書く;塗る;撮る,手元;小物,人と体;手と道具,,
445,🤳🏻,1F933;1F3FB,selfie: light skin tone,セルフィー（薄い肌色）,,1,People & Body,人と体,hand-prop,手と道具,3,444,variant,skin_tone,0,selfie,手;道具;セルフィー;自撮り,手元;小物,作業;美容;写真;SNS;旅行,自己表現;記録;記念,,書く;塗る;撮る,,手;道具;セルフィー;自撮り;手元;小物;作業;美容;写真;SNS;旅行;自己表現;記録;記念;書く;塗る;撮る,手;道具;セルフィー;自撮り;自己表現;記録;記念,作業;美容;写真;SNS;旅行;書く;塗る;撮る,手元;小物,人と体;手と道具,,
446,🤳🏼,1F933;1F3FC,selfie: medium-light skin tone,セルフィー（やや薄い肌色）,,2,People & Body,人と体,hand-prop,手と道具,3,444,variant,skin_tone,0,selfie,手;道具;セルフィー;自撮り,手元;小物,作業;美容;写真;SNS;旅行,自己表現;記録;記念,,書く;塗る;撮る,,手;道具;セルフィー;自撮り;手元;小物;作業;美容;写真;SNS;旅行;自己表現;記録;記念;書く;塗る;撮る,手;道具;セルフィー;自撮り;自己表現;記録;記念,作業;美容;写真;SNS;旅行;書く;塗る;撮る,手元;小物,人と体;手と道具,,
