id,emoji,codepoints,name_en,name_ja,category,category_ja,subcategory,subcategory_ja,unicode_version,tags_ja,scenes_ja,tone_ja,assoc_ja,en_flag,importance
420,🫱🏾‍🫲🏽,1FAF1 1F3FE 200D 1FAF2 1F3FD,"handshake: medium-dark skin tone, medium skin tone",握手（やや濃い肌色） 中間の肌色,People & Body,人と体,hands,両手,14,手;感謝;やや濃い肌色;よろしく;中間の肌色;合意;契約成立;握手;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;やや濃い肌色;よろしく;中間の肌色;合意;契約成立;握手;会話;自己紹介;親しみ;会話向き,,1
421,🫱🏾‍🫲🏿,1FAF1 1F3FE 200D 1FAF2 1F3FF,"handshake: medium-dark skin tone, dark skin tone",握手（やや濃い肌色） 濃い肌色,People & Body,人と体,hands,両手,14,手;感謝;やや濃い肌色;よろしく;合意;契約成立;握手;濃い肌色;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;やや濃い肌色;よろしく;合意;契約成立;握手;濃い肌色;会話;自己紹介;親しみ;会話向き,,1
422,🫱🏿‍🫲🏻,1FAF1 1F3FF 200D 1FAF2 1F3FB,"handshake: dark skin tone, light skin tone",握手（濃い肌色） 薄い肌色,People & Body,人と体,hands,両手,14,手;感謝;よろしく;合意;契約成立;握手;濃い肌色;薄い肌色;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;よろしく;合意;契約成立;握手;濃い肌色;薄い肌色;会話;自己紹介;親しみ;会話向き,,1
423,🫱🏿‍🫲🏼,1FAF1 1F3FF 200D 1FAF2 1F3FC,"handshake: dark skin tone, medium-light skin tone",握手（濃い肌色） やや薄い肌色,People & Body,人と体,hands,両手,14,手;感謝;やや薄い肌色;よろしく;合意;契約成立;握手;濃い肌色;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;やや薄い肌色;よろしく;合意;契約成立;握手;濃い肌色;会話;自己紹介;親しみ;会話向き,,2
424,🫱🏿‍🫲🏽,1FAF1 1F3FF 200D 1FAF2 1F3FD,"handshake: dark skin tone, medium skin tone",握手（濃い肌色） 中間の肌色,People & Body,人と体,hands,両手,14,手;感謝;よろしく;中間の肌色;合意;契約成立;握手;濃い肌色;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;よろしく;中間の肌色;合意;契約成立;握手;濃い肌色;会話;自己紹介;親しみ;会話向き,,1
425,🫱🏿‍🫲🏾,1FAF1 1F3FF 200D 1FAF2 1F3FE,"handshake: dark skin tone, medium-dark skin tone",握手（濃い肌色） やや濃い肌色,People & Body,人と体,hands,両手,14,手;感謝;やや濃い肌色;よろしく;合意;契約成立;握手;濃い肌色;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;やや濃い肌色;よろしく;合意;契約成立;握手;濃い肌色;会話;自己紹介;親しみ;会話向き,,1
426,🙏,1F64F,folded hands,合わせた手,People & Body,人と体,hands,両手,0.6,感謝;祈り;よろしく;手;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;合掌;依頼;自己紹介;丁寧;切実;会話向き,お願い;謝罪;お礼;謝る;会話,やさしい;親しみ,お願い;感謝;祈り;謝罪;よろしく;手;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;合掌;依頼;お礼;謝る;会話;自己紹介;丁寧;切実;やさしい;親しみ;会話向き,,2
427,🙏🏻,1F64F 1F3FB,folded hands: light skin tone,祈り（薄い肌色）,People & Body,人と体,hands,両手,1,手;感謝;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;合掌;祈り;薄い肌色;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;合掌;祈り;薄い肌色;会話;自己紹介;親しみ;会話向き,,1
428,🙏🏼,1F64F 1F3FC,folded hands: medium-light skin tone,祈り（やや薄い肌色）,People & Body,人と体,hands,両手,1,手;感謝;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;やや薄い肌色;合掌;祈り;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;やや薄い肌色;合掌;祈り;会話;自己紹介;親しみ;会話向き,,2
429,🙏🏽,1F64F 1F3FD,folded hands: medium skin tone,祈り（中間の肌色）,People & Body,人と体,hands,両手,1,手;感謝;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;中間の肌色;合掌;祈り;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;中間の肌色;合掌;祈り;会話;自己紹介;親しみ;会話向き,,1
430,🙏🏾,1F64F 1F3FE,folded hands: medium-dark skin tone,祈り（やや濃い肌色）,People & Body,人と体,hands,両手,1,手;感謝;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;やや濃い肌色;合掌;祈り;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;やや濃い肌色;合掌;祈り;会話;自己紹介;親しみ;会話向き,,1
431,🙏🏿,1F64F 1F3FF,folded hands: dark skin tone,祈り（濃い肌色）,People & Body,人と体,hands,両手,1,手;感謝;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;合掌;濃い肌色;祈り;自己紹介;会話向き,お願い;会話,親しみ,手;お願い;感謝;ありがとう;ごめんなさい;ジェスチャー;ハイタッチ;合掌;濃い肌色;祈り;会話;自己紹介;親しみ;会話向き,,1
432,✍️,270D FE0F,writing hand,書く手,People & Body,人と体,hand-prop,手と道具,0.7,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
433,✍🏻,270D 1F3FB,writing hand: light skin tone,書いている手（薄い肌色）,People & Body,人と体,hand-prop,手と道具,1,手;手で書く;手書き;書いている手;薄い肌色;自己紹介;会話向き,会話,親しみ,手;手で書く;手書き;書いている手;薄い肌色;会話;自己紹介;親しみ;会話向き,,1
434,✍🏼,270D 1F3FC,writing hand: medium-light skin tone,書いている手（やや薄い肌色）,People & Body,人と体,hand-prop,手と道具,1,手;やや薄い肌色;手で書く;手書き;書いている手;自己紹介;会話向き,会話,親しみ,手;やや薄い肌色;手で書く;手書き;書いている手;会話;自己紹介;親しみ;会話向き,,2
435,✍🏽,270D 1F3FD,writing hand: medium skin tone,書いている手（中間の肌色）,People & Body,人と体,hand-prop,手と道具,1,手;中間の肌色;手で書く;手書き;書いている手;自己紹介;会話向き,会話,親しみ,手;中間の肌色;手で書く;手書き;書いている手;会話;自己紹介;親しみ;会話向き,,1
436,✍🏾,270D 1F3FE,writing hand: medium-dark skin tone,書いている手（やや濃い肌色）,People & Body,人と体,hand-prop,手と道具,1,手;やや濃い肌色;手で書く;手書き;書いている手;自己紹介;会話向き,会話,親しみ,手;やや濃い肌色;手で書く;手書き;書いている手;会話;自己紹介;親しみ;会話向き,,1
437,✍🏿,270D 1F3FF,writing hand: dark skin tone,書いている手（濃い肌色）,People & Body,人と体,hand-prop,手と道具,1,手;手で書く;手書き;書いている手;濃い肌色;自己紹介;会話向き,会話,親しみ,手;手で書く;手書き;書いている手;濃い肌色;会話;自己紹介;親しみ;会話向き,,1
438,💅,1F485,nail polish,マニキュアを塗る手,People & Body,人と体,hand-prop,手と道具,0.6,ネイル;マニキュア;マニキュアを塗る手;爪;自己紹介;会話向き,会話,親しみ,ネイル;マニキュア;マニキュアを塗る手;爪;会話;自己紹介;親しみ;会話向き,,2
439,💅🏻,1F485 1F3FB,nail polish: light skin tone,マニキュアを塗る手（薄い肌色）,People & Body,人と体,hand-prop,手と道具,1,ネイル;マニキュア;マニキュアを塗る手;爪;薄い肌色;自己紹介;会話向き,会話,親しみ,ネイル;マニキュア;マニキュアを塗る手;爪;薄い肌色;会話;自己紹介;親しみ;会話向き,,1
440,💅🏼,1F485 1F3FC,nail polish: medium-light skin tone,マニキュアを塗る手（やや薄い肌色）,People & Body,人と体,hand-prop,手と道具,1,ネイル;マニキュア;マニキュアを塗る手;やや薄い肌色;爪;自己紹介;会話向き,会話,親しみ,ネイル;マニキュア;マニキュアを塗る手;やや薄い肌色;爪;会話;自己紹介;親しみ;会話向き,,2
441,💅🏽,1F485 1F3FD,nail polish: medium skin tone,マニキュアを塗る手（中間の肌色）,People & Body,人と体,hand-prop,手と道具,1,ネイル;マニキュア;マニキュアを塗る手;中間の肌色;爪;自己紹介;会話向き,会話,親しみ,ネイル;マニキュア;マニキュアを塗る手;中間の肌色;爪;会話;自己紹介;親しみ;会話向き,,1
442,💅🏾,1F485 1F3FE,nail polish: medium-dark skin tone,マニキュアを塗る手（やや濃い肌色）,People & Body,人と体,hand-prop,手と道具,1,ネイル;マニキュア;マニキュアを塗る手;やや濃い肌色;爪;自己紹介;会話向き,会話,親しみ,ネイル;マニキュア;マニキュアを塗る手;やや濃い肌色;爪;会話;自己紹介;親しみ;会話向き,,1
443,💅🏿,1F485 1F3FF,nail polish: dark skin tone,マニキュアを塗る手（濃い肌色）,People & Body,人と体,hand-prop,手と道具,1,ネイル;マニキュア;マニキュアを塗る手;濃い肌色;爪;自己紹介;会話向き,会話,親しみ,ネイル;マニキュア;マニキュアを塗る手;濃い肌色;爪;会話;自己紹介;親しみ;会話向き,,1
444,🤳,1F933,selfie,セルフィー,People & Body,人と体,hand-prop,手と道具,3,カメラ;スマホ;セルフィー;自分撮り;自撮り;自己紹介;会話向き,会話,親しみ,カメラ;スマホ;セルフィー;自分撮り;自撮り;会話;自己紹介;親しみ;会話向き,,2
445,🤳🏻,1F933 1F3FB,selfie: light skin tone,セルフィー（薄い肌色）,People & Body,人と体,hand-prop,手と道具,3,カメラ;スマホ;セルフィー;自分撮り;自撮り;薄い肌色;自己紹介;会話向き,会話,親しみ,カメラ;スマホ;セルフィー;自分撮り;自撮り;薄い肌色;会話;自己紹介;親しみ;会話向き,,1
446,🤳🏼,1F933 1F3FC,selfie: medium-light skin tone,セルフィー（やや薄い肌色）,People & Body,人と体,hand-prop,手と道具,3,カメラ;スマホ;セルフィー;やや薄い肌色;自分撮り;自撮り;自己紹介;会話向き,会話,親しみ,カメラ;スマホ;セルフィー;やや薄い肌色;自分撮り;自撮り;会話;自己紹介;親しみ;会話向き,,2
447,🤳🏽,1F933 1F3FD,selfie: medium skin tone,セルフィー（中間の肌色）,People & Body,人と体,hand-prop,手と道具,3,カメラ;スマホ;セルフィー;中間の肌色;自分撮り;自撮り;自己紹介;会話向き,会話,親しみ,カメラ;スマホ;セルフィー;中間の肌色;自分撮り;自撮り;会話;自己紹介;親しみ;会話向き,,1
448,🤳🏾,1F933 1F3FE,selfie: medium-dark skin tone,セルフィー（やや濃い肌色）,People & Body,人と体,hand-prop,手と道具,3,カメラ;スマホ;セルフィー;やや濃い肌色;自分撮り;自撮り;自己紹介;会話向き,会話,親しみ,カメラ;スマホ;セルフィー;やや濃い肌色;自分撮り;自撮り;会話;自己紹介;親しみ;会話向き,,1
449,🤳🏿,1F933 1F3FF,selfie: dark skin tone,セルフィー（濃い肌色）,People & Body,人と体,hand-prop,手と道具,3,カメラ;スマホ;セルフィー;濃い肌色;自分撮り;自撮り;自己紹介;会話向き,会話,親しみ,カメラ;スマホ;セルフィー;濃い肌色;自分撮り;自撮り;会話;自己紹介;親しみ;会話向き,,1
450,💪,1F4AA,flexed biceps,力こぶ,People & Body,人と体,body-parts,体の部位,0.6,ボディビル;ムキムキ;力こぶ;筋トレ;筋肉;腕;自己紹介;会話向き,会話,親しみ,ボディビル;ムキムキ;力こぶ;筋トレ;筋肉;腕;会話;自己紹介;親しみ;会話向き,,2
451,💪🏻,1F4AA 1F3FB,flexed biceps: light skin tone,力こぶ（薄い肌色）,People & Body,人と体,body-parts,体の部位,1,ボディビル;ムキムキ;力こぶ;筋トレ;筋肉;腕;薄い肌色;自己紹介;会話向き,会話,親しみ,ボディビル;ムキムキ;力こぶ;筋トレ;筋肉;腕;薄い肌色;会話;自己紹介;親しみ;会話向き,,1
452,💪🏼,1F4AA 1F3FC,flexed biceps: medium-light skin tone,力こぶ（やや薄い肌色）,People & Body,人と体,body-parts,体の部位,1,ボディビル;ムキムキ;やや薄い肌色;力こぶ;筋トレ;筋肉;腕;自己紹介;会話向き,会話,親しみ,ボディビル;ムキムキ;やや薄い肌色;力こぶ;筋トレ;筋肉;腕;会話;自己紹介;親しみ;会話向き,,2
453,💪🏽,1F4AA 1F3FD,flexed biceps: medium skin tone,力こぶ（中間の肌色）,People & Body,人と体,body-parts,体の部位,1,ボディビル;ムキムキ;中間の肌色;力こぶ;筋トレ;筋肉;腕;自己紹介;会話向き,会話,親しみ,ボディビル;ムキムキ;中間の肌色;力こぶ;筋トレ;筋肉;腕;会話;自己紹介;親しみ;会話向き,,1
454,💪🏾,1F4AA 1F3FE,flexed biceps: medium-dark skin tone,力こぶ（やや濃い肌色）,People & Body,人と体,body-parts,体の部位,1,ボディビル;ムキムキ;やや濃い肌色;力こぶ;筋トレ;筋肉;腕;自己紹介;会話向き,会話,親しみ,ボディビル;ムキムキ;やや濃い肌色;力こぶ;筋トレ;筋肉;腕;会話;自己紹介;親しみ;会話向き,,1
455,💪🏿,1F4AA 1F3FF,flexed biceps: dark skin tone,力こぶ（濃い肌色）,People & Body,人と体,body-parts,体の部位,1,ボディビル;ムキムキ;力こぶ;濃い肌色;筋トレ;筋肉;腕;自己紹介;会話向き,会話,親しみ,ボディビル;ムキムキ;力こぶ;濃い肌色;筋トレ;筋肉;腕;会話;自己紹介;親しみ;会話向き,,1
456,🦾,1F9BE,mechanical arm,義手,People & Body,人と体,body-parts,体の部位,12,手;アクセシビリティ;人工装具;義手;腕;自己紹介;会話向き,会話,親しみ,手;アクセシビリティ;人工装具;義手;腕;会話;自己紹介;親しみ;会話向き,,2
457,🦿,1F9BF,mechanical leg,義足,People & Body,人と体,body-parts,体の部位,12,アクセシビリティ;人工装具;義足;脚;足;自己紹介;会話向き,会話,親しみ,アクセシビリティ;人工装具;義足;脚;足;会話;自己紹介;親しみ;会話向き,,2
458,🦵,1F9B5,leg,脚,People & Body,人と体,body-parts,体の部位,11,キック;曲げた脚;脚;膝;足;自己紹介;会話向き,会話,親しみ,キック;曲げた脚;脚;膝;足;会話;自己紹介;親しみ;会話向き,,2
459,🦵🏻,1F9B5 1F3FB,leg: light skin tone,脚（薄い肌色）,People & Body,人と体,body-parts,体の部位,11,キック;曲げた脚;脚;膝;薄い肌色;足;自己紹介;会話向き,会話,親しみ,キック;曲げた脚;脚;膝;薄い肌色;足;会話;自己紹介;親しみ;会話向き,,1
460,🦵🏼,1F9B5 1F3FC,leg: medium-light skin tone,脚（やや薄い肌色）,People & Body,人と体,body-parts,体の部位,11,キック;やや薄い肌色;曲げた脚;脚;膝;足;自己紹介;会話向き,会話,親しみ,キック;やや薄い肌色;曲げた脚;脚;膝;足;会話;自己紹介;親しみ;会話向き,,2
461,🦵🏽,1F9B5 1F3FD,leg: medium skin tone,脚（中間の肌色）,People & Body,人と体,body-parts,体の部位,11,キック;中間の肌色;曲げた脚;脚;膝;足;自己紹介;会話向き,会話,親しみ,キック;中間の肌色;曲げた脚;脚;膝;足;会話;自己紹介;親しみ;会話向き,,1
462,🦵🏾,1F9B5 1F3FE,leg: medium-dark skin tone,脚（やや濃い肌色）,People & Body,人と体,body-parts,体の部位,11,キック;やや濃い肌色;曲げた脚;脚;膝;足;自己紹介;会話向き,会話,親しみ,キック;やや濃い肌色;曲げた脚;脚;膝;足;会話;自己紹介;親しみ;会話向き,,1
463,🦵🏿,1F9B5 1F3FF,leg: dark skin tone,脚（濃い肌色）,People & Body,人と体,body-parts,体の部位,11,キック;曲げた脚;濃い肌色;脚;膝;足;自己紹介;会話向き,会話,親しみ,キック;曲げた脚;濃い肌色;脚;膝;足;会話;自己紹介;親しみ;会話向き,,1
464,🦶,1F9B6,foot,足,People & Body,人と体,body-parts,体の部位,11,キック;くるぶし;ダンス;足;足首;踏みつける;自己紹介;会話向き,会話,親しみ,キック;くるぶし;ダンス;足;足首;踏みつける;会話;自己紹介;親しみ;会話向き,,2
465,🦶🏻,1F9B6 1F3FB,foot: light skin tone,足（薄い肌色）,People & Body,人と体,body-parts,体の部位,11,キック;くるぶし;ダンス;薄い肌色;足;足首;踏みつける;自己紹介;会話向き,会話,親しみ,キック;くるぶし;ダンス;薄い肌色;足;足首;踏みつける;会話;自己紹介;親しみ;会話向き,,1
466,🦶🏼,1F9B6 1F3FC,foot: medium-light skin tone,足（やや薄い肌色）,People & Body,人と体,body-parts,体の部位,11,キック;くるぶし;ダンス;やや薄い肌色;足;足首;踏みつける;自己紹介;会話向き,会話,親しみ,キック;くるぶし;ダンス;やや薄い肌色;足;足首;踏みつける;会話;自己紹介;親しみ;会話向き,,2
467,🦶🏽,1F9B6 1F3FD,foot: medium skin tone,足（中間の肌色）,People & Body,人と体,body-parts,体の部位,11,キック;くるぶし;ダンス;中間の肌色;足;足首;踏みつける;自己紹介;会話向き,会話,親しみ,キック;くるぶし;ダンス;中間の肌色;足;足首;踏みつける;会話;自己紹介;親しみ;会話向き,,1
468,🦶🏾,1F9B6 1F3FE,foot: medium-dark skin tone,足（やや濃い肌色）,People & Body,人と体,body-parts,体の部位,11,キック;くるぶし;ダンス;やや濃い肌色;足;足首;踏みつける;自己紹介;会話向き,会話,親しみ,キック;くるぶし;ダンス;やや濃い肌色;足;足首;踏みつける;会話;自己紹介;親しみ;会話向き,,1
469,🦶🏿,1F9B6 1F3FF,foot: dark skin tone,足（濃い肌色）,People & Body,人と体,body-parts,体の部位,11,キック;くるぶし;ダンス;濃い肌色;足;足首;踏みつける;自己紹介;会話向き,会話,親しみ,キック;くるぶし;ダンス;濃い肌色;足;足首;踏みつける;会話;自己紹介;親しみ;会話向き,,1
470,👂,1F442,ear,耳,People & Body,人と体,body-parts,体の部位,0.6,からだ;耳;聞き耳;聞く;自己紹介;会話向き,会話,親しみ,からだ;耳;聞き耳;聞く;会話;自己紹介;親しみ;会話向き,,2
471,👂🏻,1F442 1F3FB,ear: light skin tone,耳（薄い肌色）,People & Body,人と体,body-parts,体の部位,1,からだ;耳;聞き耳;聞く;薄い肌色;自己紹介;会話向き,会話,親しみ,からだ;耳;聞き耳;聞く;薄い肌色;会話;自己紹介;親しみ;会話向き,,1
472,👂🏼,1F442 1F3FC,ear: medium-light skin tone,耳（やや薄い肌色）,People & Body,人と体,body-parts,体の部位,1,からだ;やや薄い肌色;耳;聞き耳;聞く;自己紹介;会話向き,会話,親しみ,からだ;やや薄い肌色;耳;聞き耳;聞く;会話;自己紹介;親しみ;会話向き,,2
473,👂🏽,1F442 1F3FD,ear: medium skin tone,耳（中間の肌色）,People & Body,人と体,body-parts,体の部位,1,からだ;中間の肌色;耳;聞き耳;聞く;自己紹介;会話向き,会話,親しみ,からだ;中間の肌色;耳;聞き耳;聞く;会話;自己紹介;親しみ;会話向き,,1
474,👂🏾,1F442 1F3FE,ear: medium-dark skin tone,耳（やや濃い肌色）,People & Body,人と体,body-parts,体の部位,1,からだ;やや濃い肌色;耳;聞き耳;聞く;自己紹介;会話向き,会話,親しみ,からだ;やや濃い肌色;耳;聞き耳;聞く;会話;自己紹介;親しみ;会話向き,,1
475,👂🏿,1F442 1F3FF,ear: dark skin tone,耳（濃い肌色）,People & Body,人と体,body-parts,体の部位,1,からだ;濃い肌色;耳;聞き耳;聞く;自己紹介;会話向き,会話,親しみ,からだ;濃い肌色;耳;聞き耳;聞く;会話;自己紹介;親しみ;会話向き,,1
476,🦻,1F9BB,ear with hearing aid,補聴器を付けた耳,People & Body,人と体,body-parts,体の部位,12,アクセシビリティ;耳;聴覚;補聴器を付けた耳;難聴;自己紹介;会話向き,会話,親しみ,アクセシビリティ;耳;聴覚;補聴器を付けた耳;難聴;会話;自己紹介;親しみ;会話向き,,2
477,🦻🏻,1F9BB 1F3FB,ear with hearing aid: light skin tone,補聴器を付けた耳（薄い肌色）,People & Body,人と体,body-parts,体の部位,12,アクセシビリティ;耳;聴覚;薄い肌色;補聴器を付けた耳;難聴;自己紹介;会話向き,会話,親しみ,アクセシビリティ;耳;聴覚;薄い肌色;補聴器を付けた耳;難聴;会話;自己紹介;親しみ;会話向き,,1
478,🦻🏼,1F9BB 1F3FC,ear with hearing aid: medium-light skin tone,補聴器を付けた耳（やや薄い肌色）,People & Body,人と体,body-parts,体の部位,12,アクセシビリティ;やや薄い肌色;耳;聴覚;補聴器を付けた耳;難聴;自己紹介;会話向き,会話,親しみ,アクセシビリティ;やや薄い肌色;耳;聴覚;補聴器を付けた耳;難聴;会話;自己紹介;親しみ;会話向き,,2
479,🦻🏽,1F9BB 1F3FD,ear with hearing aid: medium skin tone,補聴器を付けた耳（中間の肌色）,People & Body,人と体,body-parts,体の部位,12,アクセシビリティ;中間の肌色;耳;聴覚;補聴器を付けた耳;難聴;自己紹介;会話向き,会話,親しみ,アクセシビリティ;中間の肌色;耳;聴覚;補聴器を付けた耳;難聴;会話;自己紹介;親しみ;会話向き,,1
480,🦻🏾,1F9BB 1F3FE,ear with hearing aid: medium-dark skin tone,補聴器を付けた耳（やや濃い肌色）,People & Body,人と体,body-parts,体の部位,12,アクセシビリティ;やや濃い肌色;耳;聴覚;補聴器を付けた耳;難聴;自己紹介;会話向き,会話,親しみ,アクセシビリティ;やや濃い肌色;耳;聴覚;補聴器を付けた耳;難聴;会話;自己紹介;親しみ;会話向き,,1
481,🦻🏿,1F9BB 1F3FF,ear with hearing aid: dark skin tone,補聴器を付けた耳（濃い肌色）,People & Body,人と体,body-parts,体の部位,12,アクセシビリティ;濃い肌色;耳;聴覚;補聴器を付けた耳;難聴;自己紹介;会話向き,会話,親しみ,アクセシビリティ;濃い肌色;耳;聴覚;補聴器を付けた耳;難聴;会話;自己紹介;親しみ;会話向き,,1
482,👃,1F443,nose,鼻,People & Body,人と体,body-parts,体の部位,0.6,からだ;鼻;自己紹介;会話向き,会話,親しみ,からだ;鼻;会話;自己紹介;親しみ;会話向き,,2
483,👃🏻,1F443 1F3FB,nose: light skin tone,鼻（薄い肌色）,People & Body,人と体,body-parts,体の部位,1,からだ;薄い肌色;鼻;自己紹介;会話向き,会話,親しみ,からだ;薄い肌色;鼻;会話;自己紹介;親しみ;会話向き,,1
484,👃🏼,1F443 1F3FC,nose: medium-light skin tone,鼻（やや薄い肌色）,People & Body,人と体,body-parts,体の部位,1,からだ;やや薄い肌色;鼻;自己紹介;会話向き,会話,親しみ,からだ;やや薄い肌色;鼻;会話;自己紹介;親しみ;会話向き,,2
485,👃🏽,1F443 1F3FD,nose: medium skin tone,鼻（中間の肌色）,People & Body,人と体,body-parts,体の部位,1,からだ;中間の肌色;鼻;自己紹介;会話向き,会話,親しみ,からだ;中間の肌色;鼻;会話;自己紹介;親しみ;会話向き,,1
486,👃🏾,1F443 1F3FE,nose: medium-dark skin tone,鼻（やや濃い肌色）,People & Body,人と体,body-parts,体の部位,1,からだ;やや濃い肌色;鼻;自己紹介;会話向き,会話,親しみ,からだ;やや濃い肌色;鼻;会話;自己紹介;親しみ;会話向き,,1
487,👃🏿,1F443 1F3FF,nose: dark skin tone,鼻（濃い肌色）,People & Body,人と体,body-parts,体の部位,1,からだ;濃い肌色;鼻;自己紹介;会話向き,会話,親しみ,からだ;濃い肌色;鼻;会話;自己紹介;親しみ;会話向き,,1
488,🧠,1F9E0,brain,脳,People & Body,人と体,body-parts,体の部位,5,知識;脳;脳みそ;頭;自己紹介;会話向き,会話,親しみ,知識;脳;脳みそ;頭;会話;自己紹介;親しみ;会話向き,,2
489,🫀,1FAC0,anatomical heart,心臓,People & Body,人と体,body-parts,体の部位,13,ハート;愛;心拍;心臓;脈;臓器;鼓動;愛情表現;自己紹介;好意;会話向き,お礼;会話,温かい;親しみ,ハート;愛;心拍;心臓;脈;臓器;鼓動;愛情表現;お礼;会話;自己紹介;温かい;好意;親しみ;会話向き,,3
490,🫁,1FAC1,lungs,肺,People & Body,人と体,body-parts,体の部位,13,呼吸;肺;臓器;自己紹介;会話向き,会話,親しみ,呼吸;肺;臓器;会話;自己紹介;親しみ;会話向き,,2
491,🦷,1F9B7,tooth,歯,People & Body,人と体,body-parts,体の部位,11,歯;歯医者;白い歯;自己紹介;会話向き,会話,親しみ,歯;歯医者;白い歯;会話;自己紹介;親しみ;会話向き,,2
492,🦴,1F9B4,bone,骨,People & Body,人と体,body-parts,体の部位,11,犬;骨;骨格;自己紹介;会話向き,ペット;散歩;会話,親しみ,犬;骨;骨格;ペット;散歩;会話;自己紹介;親しみ;会話向き,,2
493,👀,1F440,eyes,目,People & Body,人と体,body-parts,体の部位,0.6,からだ;両目;動く目玉;目;自己紹介;会話向き,会話,親しみ,からだ;両目;動く目玉;目;会話;自己紹介;親しみ;会話向き,,2
494,👁️,1F441 FE0F,eye,目,People & Body,人と体,body-parts,体の部位,0.7,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
495,👅,1F445,tongue,舌,People & Body,人と体,body-parts,体の部位,0.6,からだ;べー;べろ;舌;自己紹介;会話向き,会話,親しみ,からだ;べー;べろ;舌;会話;自己紹介;親しみ;会話向き,,2
496,👄,1F444,mouth,口,People & Body,人と体,body-parts,体の部位,0.6,からだ;キス;口;唇;自己紹介;会話向き,会話,親しみ,からだ;キス;口;唇;会話;自己紹介;親しみ;会話向き,,2
497,🫦,1FAE6,biting lip,唇を咬んでいる口,People & Body,人と体,body-parts,体の部位,14,セクシー;チッ;口;口惜しさ;唇;唇を咬んでいる口;悔しい;誘惑;自己紹介;会話向き,会話,親しみ,セクシー;チッ;口;口惜しさ;唇;唇を咬んでいる口;悔しい;誘惑;会話;自己紹介;親しみ;会話向き,,2
498,👶,1F476,baby,赤ん坊,People & Body,人と体,person,人,0.6,ベビー;子供;新生児;赤ちゃん;赤ん坊;自己紹介;会話向き,会話,親しみ,ベビー;子供;新生児;赤ちゃん;赤ん坊;会話;自己紹介;親しみ;会話向き,,2
499,👶🏻,1F476 1F3FB,baby: light skin tone,赤ん坊（薄い肌色）,People & Body,人と体,person,人,1,ベビー;子供;新生児;薄い肌色;赤ちゃん;赤ん坊;自己紹介;会話向き,会話,親しみ,ベビー;子供;新生児;薄い肌色;赤ちゃん;赤ん坊;会話;自己紹介;親しみ;会話向き,,1
500,👶🏼,1F476 1F3FC,baby: medium-light skin tone,赤ん坊（やや薄い肌色）,People & Body,人と体,person,人,1,ベビー;やや薄い肌色;子供;新生児;赤ちゃん;赤ん坊;自己紹介;会話向き,会話,親しみ,ベビー;やや薄い肌色;子供;新生児;赤ちゃん;赤ん坊;会話;自己紹介;親しみ;会話向き,,2
501,👶🏽,1F476 1F3FD,baby: medium skin tone,赤ん坊（中間の肌色）,People & Body,人と体,person,人,1,ベビー;中間の肌色;子供;新生児;赤ちゃん;赤ん坊;自己紹介;会話向き,会話,親しみ,ベビー;中間の肌色;子供;新生児;赤ちゃん;赤ん坊;会話;自己紹介;親しみ;会話向き,,1
502,👶🏾,1F476 1F3FE,baby: medium-dark skin tone,赤ん坊（やや濃い肌色）,People & Body,人と体,person,人,1,ベビー;やや濃い肌色;子供;新生児;赤ちゃん;赤ん坊;自己紹介;会話向き,会話,親しみ,ベビー;やや濃い肌色;子供;新生児;赤ちゃん;赤ん坊;会話;自己紹介;親しみ;会話向き,,1
503,👶🏿,1F476 1F3FF,baby: dark skin tone,赤ん坊（濃い肌色）,People & Body,人と体,person,人,1,ベビー;子供;新生児;濃い肌色;赤ちゃん;赤ん坊;自己紹介;会話向き,会話,親しみ,ベビー;子供;新生児;濃い肌色;赤ちゃん;赤ん坊;会話;自己紹介;親しみ;会話向き,,1
