id,emoji,codepoints,name_en,name_ja,category,category_ja,subcategory,subcategory_ja,unicode_version,importance,direct_ja,visual_ja,context_ja,symbolic_ja,emotion_ja,action_ja,culture_ja,search_ja,abstract_group_id,abstract_group_role,abstract_variant_kind,abstract_is_source,abstract_group_key
330,🫵🏼,1FAF5 1F3FC,index pointing at the viewer: medium-light skin tone,人を指差している手（やや薄い肌色）,People & Body,人と体,hand-single-finger,一本指,14,2,,,,,,,,,328,variant,skin_tone,0,index pointing at the viewer
331,🫵🏽,1FAF5 1F3FD,index pointing at the viewer: medium skin tone,人を指差している手（中間の肌色）,People & Body,人と体,hand-single-finger,一本指,14,1,,,,,,,,,328,variant,skin_tone,0,index pointing at the viewer
332,🫵🏾,1FAF5 1F3FE,index pointing at the viewer: medium-dark skin tone,人を指差している手（やや濃い肌色）,People & Body,人と体,hand-single-finger,一本指,14,1,,,,,,,,,328,variant,skin_tone,0,index pointing at the viewer
333,🫵🏿,1FAF5 1F3FF,index pointing at the viewer: dark skin tone,人を指差している手（濃い肌色）,People & Body,人と体,hand-single-finger,一本指,14,1,,,,,,,,,328,variant,skin_tone,0,index pointing at the viewer
334,👍,1F44D,thumbs up,サムズアップ,People & Body,人と体,hand-fingers-closed,閉じた手,0.6,2,手;こぶし;サムズアップ;いいね,握った手;拳,応援;リアクション;チャット;承認,賛成;反対;力;OK,前向き,握る;殴る;応援する;褒める,,手;こぶし;サムズアップ;いいね;握った手;拳;応援;リアクション;チャット;承認;賛成;反対;力;OK;前向き;握る;殴る;応援する;褒める;頑張れ;やる気;努力;すごい;許可;納得,334,source,base,1,thumbs up
335,👍🏻,1F44D 1F3FB,thumbs up: light skin tone,サムズアップ（薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,334,variant,skin_tone,0,thumbs up
336,👍🏼,1F44D 1F3FC,thumbs up: medium-light skin tone,サムズアップ（やや薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,2,,,,,,,,,334,variant,skin_tone,0,thumbs up
337,👍🏽,1F44D 1F3FD,thumbs up: medium skin tone,サムズアップ（中間の肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,334,variant,skin_tone,0,thumbs up
338,👍🏾,1F44D 1F3FE,thumbs up: medium-dark skin tone,サムズアップ（やや濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,334,variant,skin_tone,0,thumbs up
339,👍🏿,1F44D 1F3FF,thumbs up: dark skin tone,サムズアップ（濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,334,variant,skin_tone,0,thumbs up
340,👎,1F44E,thumbs down,サムズダウン,People & Body,人と体,hand-fingers-closed,閉じた手,0.6,2,手;こぶし;サムズダウン,握った手;拳,応援;リアクション;チャット;評価;反対,賛成;反対;力;だめ,不満,握る;殴る;応援する;否定する,,手;こぶし;サムズダウン;握った手;拳;応援;リアクション;チャット;評価;反対;賛成;力;だめ;不満;握る;殴る;応援する;否定する;嫌い,340,source,base,1,thumbs down
341,👎🏻,1F44E 1F3FB,thumbs down: light skin tone,サムズダウン（薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,340,variant,skin_tone,0,thumbs down
342,👎🏼,1F44E 1F3FC,thumbs down: medium-light skin tone,サムズダウン（やや薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,2,,,,,,,,,340,variant,skin_tone,0,thumbs down
343,👎🏽,1F44E 1F3FD,thumbs down: medium skin tone,サムズダウン（中間の肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,340,variant,skin_tone,0,thumbs down
344,👎🏾,1F44E 1F3FE,thumbs down: medium-dark skin tone,サムズダウン（やや濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,340,variant,skin_tone,0,thumbs down
345,👎🏿,1F44E 1F3FF,thumbs down: dark skin tone,サムズダウン（濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,340,variant,skin_tone,0,thumbs down
346,✊,270A,raised fist,げんこつ,People & Body,人と体,hand-fingers-closed,閉じた手,0.6,2,手;こぶし;げんこつ,握った手;拳,応援;リアクション;チャット,賛成;反対;力,,握る;殴る;応援する,,手;こぶし;げんこつ;握った手;拳;応援;リアクション;チャット;賛成;反対;力;握る;殴る;応援する;頑張れ;やる気;気合い,346,source,base,1,raised fist
347,✊🏻,270A 1F3FB,raised fist: light skin tone,げんこつ（薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,346,variant,skin_tone,0,raised fist
348,✊🏼,270A 1F3FC,raised fist: medium-light skin tone,げんこつ（やや薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,2,,,,,,,,,346,variant,skin_tone,0,raised fist
349,✊🏽,270A 1F3FD,raised fist: medium skin tone,げんこつ（中間の肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,346,variant,skin_tone,0,raised fist
350,✊🏾,270A 1F3FE,raised fist: medium-dark skin tone,げんこつ（やや濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,346,variant,skin_tone,0,raised fist
351,✊🏿,270A 1F3FF,raised fist: dark skin tone,げんこつ（濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,346,variant,skin_tone,0,raised fist
352,👊,1F44A,oncoming fist,グー,People & Body,人と体,hand-fingers-closed,閉じた手,0.6,2,手;こぶし;グー,握った手;拳,応援;リアクション;チャット,賛成;反対;力,,握る;殴る;応援する,,手;こぶし;グー;握った手;拳;応援;リアクション;チャット;賛成;反対;力;握る;殴る;応援する,352,source,base,1,oncoming fist
353,👊🏻,1F44A 1F3FB,oncoming fist: light skin tone,グー（薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,352,variant,skin_tone,0,oncoming fist
354,👊🏼,1F44A 1F3FC,oncoming fist: medium-light skin tone,グー（やや薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,2,,,,,,,,,352,variant,skin_tone,0,oncoming fist
355,👊🏽,1F44A 1F3FD,oncoming fist: medium skin tone,グー（中間の肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,352,variant,skin_tone,0,oncoming fist
356,👊🏾,1F44A 1F3FE,oncoming fist: medium-dark skin tone,グー（やや濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,352,variant,skin_tone,0,oncoming fist
357,👊🏿,1F44A 1F3FF,oncoming fist: dark skin tone,グー（濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,1,1,,,,,,,,,352,variant,skin_tone,0,oncoming fist
358,🤛,1F91B,left-facing fist,左向きのこぶし,People & Body,人と体,hand-fingers-closed,閉じた手,3,2,手;こぶし;左向きのこぶし,握った手;拳,応援;リアクション;チャット,賛成;反対;力,,握る;殴る;応援する,,手;こぶし;左向きのこぶし;握った手;拳;応援;リアクション;チャット;賛成;反対;力;握る;殴る;応援する,358,source,base,1,left-facing fist
359,🤛🏻,1F91B 1F3FB,left-facing fist: light skin tone,左向きのこぶし（薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,3,1,,,,,,,,,358,variant,skin_tone,0,left-facing fist
360,🤛🏼,1F91B 1F3FC,left-facing fist: medium-light skin tone,左向きのこぶし（やや薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,3,2,,,,,,,,,358,variant,skin_tone,0,left-facing fist
361,🤛🏽,1F91B 1F3FD,left-facing fist: medium skin tone,左向きのこぶし（中間の肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,3,1,,,,,,,,,358,variant,skin_tone,0,left-facing fist
362,🤛🏾,1F91B 1F3FE,left-facing fist: medium-dark skin tone,左向きのこぶし（やや濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,3,1,,,,,,,,,358,variant,skin_tone,0,left-facing fist
363,🤛🏿,1F91B 1F3FF,left-facing fist: dark skin tone,左向きのこぶし（濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,3,1,,,,,,,,,358,variant,skin_tone,0,left-facing fist
364,🤜,1F91C,right-facing fist,右向きのこぶし,People & Body,人と体,hand-fingers-closed,閉じた手,3,2,手;こぶし;右向きのこぶし,握った手;拳,応援;リアクション;チャット,賛成;反対;力,,握る;殴る;応援する,,手;こぶし;右向きのこぶし;握った手;拳;応援;リアクション;チャット;賛成;反対;力;握る;殴る;応援する,364,source,base,1,right-facing fist
365,🤜🏻,1F91C 1F3FB,right-facing fist: light skin tone,右向きのこぶし（薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,3,1,,,,,,,,,364,variant,skin_tone,0,right-facing fist
366,🤜🏼,1F91C 1F3FC,right-facing fist: medium-light skin tone,右向きのこぶし（やや薄い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,3,2,,,,,,,,,364,variant,skin_tone,0,right-facing fist
367,🤜🏽,1F91C 1F3FD,right-facing fist: medium skin tone,右向きのこぶし（中間の肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,3,1,,,,,,,,,364,variant,skin_tone,0,right-facing fist
368,🤜🏾,1F91C 1F3FE,right-facing fist: medium-dark skin tone,右向きのこぶし（やや濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,3,1,,,,,,,,,364,variant,skin_tone,0,right-facing fist
369,🤜🏿,1F91C 1F3FF,right-facing fist: dark skin tone,右向きのこぶし（濃い肌色）,People & Body,人と体,hand-fingers-closed,閉じた手,3,1,,,,,,,,,364,variant,skin_tone,0,right-facing fist
370,👏,1F44F,clapping hands,拍手,People & Body,人と体,hands,両手,0.6,2,両手;手;拍手,二つの手;手のひら,挨拶;お礼;応援;チャット;お祝い;称賛;発表,協力;祈り;祝福;称賛,感謝;嬉しい;温かい,拍手する;合わせる;祈る,,両手;手;拍手;二つの手;手のひら;挨拶;お礼;応援;チャット;お祝い;称賛;発表;協力;祈り;祝福;感謝;嬉しい;温かい;拍手する;合わせる;祈る;ありがとう;頑張れ;お疲れ様;努力;おめでとう;すごい;推し;達成;励まし;共感;ファン;味方;尊敬,370,source,base,1,clapping hands
371,👏🏻,1F44F 1F3FB,clapping hands: light skin tone,拍手（薄い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,370,variant,skin_tone,0,clapping hands
372,👏🏼,1F44F 1F3FC,clapping hands: medium-light skin tone,拍手（やや薄い肌色）,People & Body,人と体,hands,両手,1,2,,,,,,,,,370,variant,skin_tone,0,clapping hands
373,👏🏽,1F44F 1F3FD,clapping hands: medium skin tone,拍手（中間の肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,370,variant,skin_tone,0,clapping hands
374,👏🏾,1F44F 1F3FE,clapping hands: medium-dark skin tone,拍手（やや濃い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,370,variant,skin_tone,0,clapping hands
375,👏🏿,1F44F 1F3FF,clapping hands: dark skin tone,拍手（濃い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,370,variant,skin_tone,0,clapping hands
376,🙌,1F64C,raising hands,バンザイ,People & Body,人と体,hands,両手,0.6,2,両手;手;バンザイ,二つの手;手のひら,挨拶;お礼;応援;チャット;成功;お祝い,協力;祈り;祝福;喜び;勝利,感謝;嬉しい;温かい,拍手する;合わせる;祈る;喜ぶ,,両手;手;バンザイ;二つの手;手のひら;挨拶;お礼;応援;チャット;成功;お祝い;協力;祈り;祝福;喜び;勝利;感謝;嬉しい;温かい;拍手する;合わせる;祈る;喜ぶ;ありがとう,376,source,base,1,raising hands
377,🙌🏻,1F64C 1F3FB,raising hands: light skin tone,バンザイ（薄い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,376,variant,skin_tone,0,raising hands
378,🙌🏼,1F64C 1F3FC,raising hands: medium-light skin tone,バンザイ（やや薄い肌色）,People & Body,人と体,hands,両手,1,2,,,,,,,,,376,variant,skin_tone,0,raising hands
379,🙌🏽,1F64C 1F3FD,raising hands: medium skin tone,バンザイ（中間の肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,376,variant,skin_tone,0,raising hands
380,🙌🏾,1F64C 1F3FE,raising hands: medium-dark skin tone,バンザイ（やや濃い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,376,variant,skin_tone,0,raising hands
381,🙌🏿,1F64C 1F3FF,raising hands: dark skin tone,バンザイ（濃い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,376,variant,skin_tone,0,raising hands
382,🫶,1FAF6,heart hands,ハート形の手,People & Body,人と体,hands,両手,14,3,両手;手;ハート形の手;ハートの手,二つの手;手のひら;ハート,挨拶;お礼;応援;チャット;推し活,協力;祈り;祝福;愛;感謝,感謝;嬉しい;温かい;好き;かわいい,拍手する;合わせる;祈る;愛を伝える,,両手;手;ハート形の手;ハートの手;二つの手;手のひら;ハート;挨拶;お礼;応援;チャット;推し活;協力;祈り;祝福;愛;感謝;嬉しい;温かい;好き;かわいい;拍手する;合わせる;祈る;愛を伝える;ありがとう;頑張れ;友達;友達関係;仲間;青春;尊い;恋人;デート;推し;きゅん;共感;励まし;慰め;大好き,382,source,base,1,heart hands
383,🫶🏻,1FAF6 1F3FB,heart hands: light skin tone,ハート形の手（薄い肌色）,People & Body,人と体,hands,両手,14,1,,,,,,,,,382,variant,skin_tone,0,heart hands
384,🫶🏼,1FAF6 1F3FC,heart hands: medium-light skin tone,ハート形の手（やや薄い肌色）,People & Body,人と体,hands,両手,14,2,,,,,,,,,382,variant,skin_tone,0,heart hands
385,🫶🏽,1FAF6 1F3FD,heart hands: medium skin tone,ハート形の手（中間の肌色）,People & Body,人と体,hands,両手,14,1,,,,,,,,,382,variant,skin_tone,0,heart hands
386,🫶🏾,1FAF6 1F3FE,heart hands: medium-dark skin tone,ハート形の手（やや濃い肌色）,People & Body,人と体,hands,両手,14,1,,,,,,,,,382,variant,skin_tone,0,heart hands
387,🫶🏿,1FAF6 1F3FF,heart hands: dark skin tone,ハート形の手（濃い肌色）,People & Body,人と体,hands,両手,14,1,,,,,,,,,382,variant,skin_tone,0,heart hands
388,👐,1F450,open hands,両手のひら,People & Body,人と体,hands,両手,0.6,2,両手;手;両手のひら,二つの手;手のひら,挨拶;お礼;応援;チャット,協力;祈り;祝福,感謝;嬉しい;温かい,拍手する;合わせる;祈る,,両手;手;両手のひら;二つの手;手のひら;挨拶;お礼;応援;チャット;協力;祈り;祝福;感謝;嬉しい;温かい;拍手する;合わせる;祈る,388,source,base,1,open hands
389,👐🏻,1F450 1F3FB,open hands: light skin tone,両手のひら（薄い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,388,variant,skin_tone,0,open hands
390,👐🏼,1F450 1F3FC,open hands: medium-light skin tone,両手のひら（やや薄い肌色）,People & Body,人と体,hands,両手,1,2,,,,,,,,,388,variant,skin_tone,0,open hands
391,👐🏽,1F450 1F3FD,open hands: medium skin tone,両手のひら（中間の肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,388,variant,skin_tone,0,open hands
392,👐🏾,1F450 1F3FE,open hands: medium-dark skin tone,両手のひら（やや濃い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,388,variant,skin_tone,0,open hands
393,👐🏿,1F450 1F3FF,open hands: dark skin tone,両手のひら（濃い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,388,variant,skin_tone,0,open hands
394,🤲,1F932,palms up together,手のひらを揃えた両手,People & Body,人と体,hands,両手,5,2,両手;手;手のひらを揃えた両手,二つの手;手のひら,挨拶;お礼;応援;チャット,協力;祈り;祝福,感謝;嬉しい;温かい,拍手する;合わせる;祈る,,両手;手;手のひらを揃えた両手;二つの手;手のひら;挨拶;お礼;応援;チャット;協力;祈り;祝福;感謝;嬉しい;温かい;拍手する;合わせる;祈る;ありがとう,394,source,base,1,palms up together
395,🤲🏻,1F932 1F3FB,palms up together: light skin tone,手のひらを揃えた両手（薄い肌色）,People & Body,人と体,hands,両手,5,1,,,,,,,,,394,variant,skin_tone,0,palms up together
396,🤲🏼,1F932 1F3FC,palms up together: medium-light skin tone,手のひらを揃えた両手（やや薄い肌色）,People & Body,人と体,hands,両手,5,2,,,,,,,,,394,variant,skin_tone,0,palms up together
397,🤲🏽,1F932 1F3FD,palms up together: medium skin tone,手のひらを揃えた両手（中間の肌色）,People & Body,人と体,hands,両手,5,1,,,,,,,,,394,variant,skin_tone,0,palms up together
398,🤲🏾,1F932 1F3FE,palms up together: medium-dark skin tone,手のひらを揃えた両手（やや濃い肌色）,People & Body,人と体,hands,両手,5,1,,,,,,,,,394,variant,skin_tone,0,palms up together
399,🤲🏿,1F932 1F3FF,palms up together: dark skin tone,手のひらを揃えた両手（濃い肌色）,People & Body,人と体,hands,両手,5,1,,,,,,,,,394,variant,skin_tone,0,palms up together
400,🤝,1F91D,handshake,握手,People & Body,人と体,hands,両手,3,2,両手;手;握手,二つの手;手のひら,挨拶;お礼;応援;チャット;契約;合意,協力;祈り;祝福;信頼,感謝;嬉しい;温かい,拍手する;合わせる;祈る;握手する,,両手;手;握手;二つの手;手のひら;挨拶;お礼;応援;チャット;契約;合意;協力;祈り;祝福;信頼;感謝;嬉しい;温かい;拍手する;合わせる;祈る;握手する;友達;友達関係;仲間;会議;チーム;平和;先輩;後輩;味方;仲直り;ライバル;面談;恩人;知り合い;再会;同僚;誠実,400,source,base,1,handshake
401,🤝🏻,1F91D 1F3FB,handshake: light skin tone,握手（薄い肌色）,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,skin_tone,0,handshake
402,🤝🏼,1F91D 1F3FC,handshake: medium-light skin tone,握手（やや薄い肌色）,People & Body,人と体,hands,両手,14,2,,,,,,,,,400,variant,skin_tone,0,handshake
403,🤝🏽,1F91D 1F3FD,handshake: medium skin tone,握手（中間の肌色）,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,skin_tone,0,handshake
404,🤝🏾,1F91D 1F3FE,handshake: medium-dark skin tone,握手（やや濃い肌色）,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,skin_tone,0,handshake
405,🤝🏿,1F91D 1F3FF,handshake: dark skin tone,握手（濃い肌色）,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,skin_tone,0,handshake
406,🫱🏻‍🫲🏼,1FAF1 1F3FB 200D 1FAF2 1F3FC,"handshake: light skin tone, medium-light skin tone",握手（薄い肌色） やや薄い肌色,People & Body,人と体,hands,両手,14,2,,,,,,,,,400,variant,mixed_skin,0,handshake
407,🫱🏻‍🫲🏽,1FAF1 1F3FB 200D 1FAF2 1F3FD,"handshake: light skin tone, medium skin tone",握手（薄い肌色） 中間の肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
408,🫱🏻‍🫲🏾,1FAF1 1F3FB 200D 1FAF2 1F3FE,"handshake: light skin tone, medium-dark skin tone",握手（薄い肌色） やや濃い肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
409,🫱🏻‍🫲🏿,1FAF1 1F3FB 200D 1FAF2 1F3FF,"handshake: light skin tone, dark skin tone",握手（薄い肌色） 濃い肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
410,🫱🏼‍🫲🏻,1FAF1 1F3FC 200D 1FAF2 1F3FB,"handshake: medium-light skin tone, light skin tone",握手（やや薄い肌色） 薄い肌色,People & Body,人と体,hands,両手,14,2,,,,,,,,,400,variant,mixed_skin,0,handshake
411,🫱🏼‍🫲🏽,1FAF1 1F3FC 200D 1FAF2 1F3FD,"handshake: medium-light skin tone, medium skin tone",握手（やや薄い肌色） 中間の肌色,People & Body,人と体,hands,両手,14,2,,,,,,,,,400,variant,mixed_skin,0,handshake
412,🫱🏼‍🫲🏾,1FAF1 1F3FC 200D 1FAF2 1F3FE,"handshake: medium-light skin tone, medium-dark skin tone",握手（やや薄い肌色） やや濃い肌色,People & Body,人と体,hands,両手,14,2,,,,,,,,,400,variant,mixed_skin,0,handshake
413,🫱🏼‍🫲🏿,1FAF1 1F3FC 200D 1FAF2 1F3FF,"handshake: medium-light skin tone, dark skin tone",握手（やや薄い肌色） 濃い肌色,People & Body,人と体,hands,両手,14,2,,,,,,,,,400,variant,mixed_skin,0,handshake
414,🫱🏽‍🫲🏻,1FAF1 1F3FD 200D 1FAF2 1F3FB,"handshake: medium skin tone, light skin tone",握手（中間の肌色） 薄い肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
415,🫱🏽‍🫲🏼,1FAF1 1F3FD 200D 1FAF2 1F3FC,"handshake: medium skin tone, medium-light skin tone",握手（中間の肌色） やや薄い肌色,People & Body,人と体,hands,両手,14,2,,,,,,,,,400,variant,mixed_skin,0,handshake
416,🫱🏽‍🫲🏾,1FAF1 1F3FD 200D 1FAF2 1F3FE,"handshake: medium skin tone, medium-dark skin tone",握手（中間の肌色） やや濃い肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
417,🫱🏽‍🫲🏿,1FAF1 1F3FD 200D 1FAF2 1F3FF,"handshake: medium skin tone, dark skin tone",握手（中間の肌色） 濃い肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
418,🫱🏾‍🫲🏻,1FAF1 1F3FE 200D 1FAF2 1F3FB,"handshake: medium-dark skin tone, light skin tone",握手（やや濃い肌色） 薄い肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
419,🫱🏾‍🫲🏼,1FAF1 1F3FE 200D 1FAF2 1F3FC,"handshake: medium-dark skin tone, medium-light skin tone",握手（やや濃い肌色） やや薄い肌色,People & Body,人と体,hands,両手,14,2,,,,,,,,,400,variant,mixed_skin,0,handshake
420,🫱🏾‍🫲🏽,1FAF1 1F3FE 200D 1FAF2 1F3FD,"handshake: medium-dark skin tone, medium skin tone",握手（やや濃い肌色） 中間の肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
421,🫱🏾‍🫲🏿,1FAF1 1F3FE 200D 1FAF2 1F3FF,"handshake: medium-dark skin tone, dark skin tone",握手（やや濃い肌色） 濃い肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
422,🫱🏿‍🫲🏻,1FAF1 1F3FF 200D 1FAF2 1F3FB,"handshake: dark skin tone, light skin tone",握手（濃い肌色） 薄い肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
423,🫱🏿‍🫲🏼,1FAF1 1F3FF 200D 1FAF2 1F3FC,"handshake: dark skin tone, medium-light skin tone",握手（濃い肌色） やや薄い肌色,People & Body,人と体,hands,両手,14,2,,,,,,,,,400,variant,mixed_skin,0,handshake
424,🫱🏿‍🫲🏽,1FAF1 1F3FF 200D 1FAF2 1F3FD,"handshake: dark skin tone, medium skin tone",握手（濃い肌色） 中間の肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
425,🫱🏿‍🫲🏾,1FAF1 1F3FF 200D 1FAF2 1F3FE,"handshake: dark skin tone, medium-dark skin tone",握手（濃い肌色） やや濃い肌色,People & Body,人と体,hands,両手,14,1,,,,,,,,,400,variant,mixed_skin,0,handshake
426,🙏,1F64F,folded hands,合わせた手,People & Body,人と体,hands,両手,0.6,2,両手;手;合わせた手;合掌,二つの手;手のひら,挨拶;お礼;応援;チャット;お願い;祈り,協力;祈り;祝福;祈願;感謝;謝罪,感謝;嬉しい;温かい;ありがたい,拍手する;合わせる;祈る;お願いする,,両手;手;合わせた手;合掌;二つの手;手のひら;挨拶;お礼;応援;チャット;お願い;祈り;協力;祝福;祈願;感謝;謝罪;嬉しい;温かい;ありがたい;拍手する;合わせる;祈る;お願いする;ありがとう;ごめん;お疲れ様;平和;励まし;慰め;尊敬;お盆;ヨガ;瞑想;お祈り;寺;神社;葬式;恩人;先祖;奇跡;信頼;誠実,426,source,base,1,folded hands
427,🙏🏻,1F64F 1F3FB,folded hands: light skin tone,祈り（薄い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,426,variant,skin_tone,0,folded hands
428,🙏🏼,1F64F 1F3FC,folded hands: medium-light skin tone,祈り（やや薄い肌色）,People & Body,人と体,hands,両手,1,2,,,,,,,,,426,variant,skin_tone,0,folded hands
429,🙏🏽,1F64F 1F3FD,folded hands: medium skin tone,祈り（中間の肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,426,variant,skin_tone,0,folded hands
430,🙏🏾,1F64F 1F3FE,folded hands: medium-dark skin tone,祈り（やや濃い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,426,variant,skin_tone,0,folded hands
431,🙏🏿,1F64F 1F3FF,folded hands: dark skin tone,祈り（濃い肌色）,People & Body,人と体,hands,両手,1,1,,,,,,,,,426,variant,skin_tone,0,folded hands
432,✍️,270D FE0F,writing hand,書く手,People & Body,人と体,hand-prop,手と道具,0.7,2,手;道具;書く手,手元;小物,作業;美容;写真;SNS;勉強;仕事;メモ,自己表現;記録;署名,,書く;塗る;撮る,,手;道具;書く手;手元;小物;作業;美容;写真;SNS;勉強;仕事;メモ;自己表現;記録;署名;書く;塗る;撮る,432,source,base,1,writing hand
433,✍🏻,270D 1F3FB,writing hand: light skin tone,書いている手（薄い肌色）,People & Body,人と体,hand-prop,手と道具,1,1,,,,,,,,,432,variant,skin_tone,0,writing hand
434,✍🏼,270D 1F3FC,writing hand: medium-light skin tone,書いている手（やや薄い肌色）,People & Body,人と体,hand-prop,手と道具,1,2,,,,,,,,,432,variant,skin_tone,0,writing hand
435,✍🏽,270D 1F3FD,writing hand: medium skin tone,書いている手（中間の肌色）,People & Body,人と体,hand-prop,手と道具,1,1,,,,,,,,,432,variant,skin_tone,0,writing hand
436,✍🏾,270D 1F3FE,writing hand: medium-dark skin tone,書いている手（やや濃い肌色）,People & Body,人と体,hand-prop,手と道具,1,1,,,,,,,,,432,variant,skin_tone,0,writing hand
437,✍🏿,270D 1F3FF,writing hand: dark skin tone,書いている手（濃い肌色）,People & Body,人と体,hand-prop,手と道具,1,1,,,,,,,,,432,variant,skin_tone,0,writing hand
438,💅,1F485,nail polish,マニキュアを塗る手,People & Body,人と体,hand-prop,手と道具,0.6,2,手;道具;マニキュアを塗る手;マニキュア,手元;小物,作業;美容;写真;SNS;ネイル,自己表現;記録;おしゃれ,きれい,書く;塗る;撮る,,手;道具;マニキュアを塗る手;マニキュア;手元;小物;作業;美容;写真;SNS;ネイル;自己表現;記録;おしゃれ;きれい;書く;塗る;撮る,438,source,base,1,nail polish
439,💅🏻,1F485 1F3FB,nail polish: light skin tone,マニキュアを塗る手（薄い肌色）,People & Body,人と体,hand-prop,手と道具,1,1,,,,,,,,,438,variant,skin_tone,0,nail polish
440,💅🏼,1F485 1F3FC,nail polish: medium-light skin tone,マニキュアを塗る手（やや薄い肌色）,People & Body,人と体,hand-prop,手と道具,1,2,,,,,,,,,438,variant,skin_tone,0,nail polish
441,💅🏽,1F485 1F3FD,nail polish: medium skin tone,マニキュアを塗る手（中間の肌色）,People & Body,人と体,hand-prop,手と道具,1,1,,,,,,,,,438,variant,skin_tone,0,nail polish
442,💅🏾,1F485 1F3FE,nail polish: medium-dark skin tone,マニキュアを塗る手（やや濃い肌色）,People & Body,人と体,hand-prop,手と道具,1,1,,,,,,,,,438,variant,skin_tone,0,nail polish
